\\ Названия способностей: \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"ability_attribute_bonus"	"Бонус к атрибутам"
"[english]ability_razor_plasma_field_Description"	"Releases a wave of energetic plasma that grows in power as it expands, but also zaps on contraction, slowing and dealing damage to enemy units caught in its path. Damage and slow increases with distance from Razor. The Plasma Field hits each unit twice, once each direction."

"ability_razor_plasma_field_damage_min"	"МИН. УРОН:"
"[english]ability_razor_plasma_field_damage_min"	"DAMAGE MIN:"

"ability_razor_plasma_field_damage_max"	"МАКС. УРОН:"
"[english]ability_razor_plasma_field_damage_max"	"DAMAGE MAX:"

"ability_razor_plasma_field_radius"	"РАДИУС:"
"[english]ability_razor_plasma_field_radius"	"RADIUS:"

"ability_razor_static_link"	"Static Link"
"[english]ability_razor_static_link"	"Static Link"

"ability_razor_static_link_Description"	"Создаёт электрическую связь с выбранным вражеским героем, передавая его урон от атак владельцу способности."
"[english]ability_razor_static_link_Description"	"Creates a charged link between Razor and an enemy Hero, stealing damage from the target and giving it to Razor."

"ability_razor_static_link_drain_rate"	"СКОРОСТЬ ИЗМЕНЕНИЯ УРОНА:"
"[english]ability_razor_static_link_drain_rate"	"DAMAGE DRAIN RATE:"

"ability_razor_static_link_drain_length"	"ДЛИТЕЛЬНОСТЬ СВЯЗИ:"
"[english]ability_razor_static_link_drain_length"	"LINK DURATION:"

"ability_razor_static_link_drain_duration"	"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
"[english]ability_razor_static_link_drain_duration"	"BUFF DURATION:"

"ability_razor_unstable_current"	"Unstable Current"
"[english]ability_razor_unstable_current"	"Unstable Current"

"ability_razor_unstable_current_Description"	"Увеличивает скорость передвижения героя и раз в несколько секунд наносит урон всем противникам неподалёку."
"[english]ability_razor_unstable_current_Description"	"Passively increases your movement speed and occasionally hits every unit in the area for some damage."

"ability_razor_unstable_current_movement_speed_pct"	"%ДОП. СКОРОСТЬ:"
"[english]ability_razor_unstable_current_movement_speed_pct"	"%BONUS SPEED:"

"ability_razor_eye_of_the_storm"	"Eye of the Storm"
"[english]ability_razor_eye_of_the_storm"	"Eye of the Storm"

"ability_razor_eye_of_the_storm_Description"	"Собирает над героем грозовую тучу, которая бьёт молнией врага с наименьшим здоровьем, нанося ему урон и уменьшая его броню.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_razor_eye_of_the_storm_Description"	"A powerful lightning storm strikes out at enemy units with the lowest health, dealing damage and reducing their armor. \n\nUpgradable by Aghanim's Scepter."

"ability_razor_eye_of_the_storm_radius"	"РАДИУС:"
"[english]ability_razor_eye_of_the_storm_radius"	"RADIUS:"

"ability_razor_eye_of_the_storm_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_razor_eye_of_the_storm_duration"	"DURATION:"

"ability_razor_eye_of_the_storm_strike_interval"	"ИНТЕРВАЛ РАЗРЯДОВ:"
"[english]ability_razor_eye_of_the_storm_strike_interval"	"STRIKE INTERVAL:"

"ability_razor_eye_of_the_storm_armor_reduction"	"СНИЖЕНИЕ БРОНИ:"
"[english]ability_razor_eye_of_the_storm_armor_reduction"	"ARMOR REDUCTION:"

"ability_storm_spirit_static_remnant"	"Static Remnant"
"[english]ability_storm_spirit_static_remnant"	"Static Remnant"

"ability_storm_spirit_static_remnant_Description"	"Создаёт свою энергетическую копию, которая существует 12 секунд и взрывается, если поблизости проходит враг."
"[english]ability_storm_spirit_static_remnant_Description"	"Creates an explosively charged image of Storm Spirit that lasts 12 seconds and will detonate and deal damage if an enemy unit comes near it."

"ability_storm_spirit_static_remnant_static_remnant_damage_radius"	"РАДИУС:"
"[english]ability_storm_spirit_static_remnant_static_remnant_damage_radius"	"RADIUS:"

"ability_storm_spirit_electric_vortex"	"Electric Vortex"
"[english]ability_storm_spirit_electric_vortex"	"Electric Vortex"

"ability_storm_spirit_electric_vortex_Description"	"Создаёт вихрь, затягивающий врага в место, где находится герой.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_storm_spirit_electric_vortex_Description"	"A vortex that pulls an enemy unit to Storm Spirit's location.\n\nUpgradable by Aghanim's Scepter."

"ability_storm_spirit_electric_vortex_duration_tooltip"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_storm_spirit_electric_vortex_duration_tooltip"	"DURATION:"

"ability_storm_spirit_overload"	"Overload"
"[english]ability_storm_spirit_overload"	"Overload"

"ability_storm_spirit_overload_Description"	"Применение способностей создаёт заряд электричества, который наполняет следующую атаку. Она нанесёт урон всем врагам вокруг цели и замедлит их."
"[english]ability_storm_spirit_overload_Description"	"Casting a spell creates an electrical charge, which is released in a burst on his next attack, dealing damage and slowing nearby enemies."

"ability_storm_spirit_overload_overload_move_slow"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_storm_spirit_overload_overload_move_slow"	"%MOVEMENT SLOW:"

"ability_storm_spirit_overload_overload_attack_slow"	"ЗАМЕДЛЕНИЕ АТАКИ:"
"[english]ability_storm_spirit_overload_overload_attack_slow"	"ATTACK SLOW:"

"ability_storm_spirit_ball_lightning"	"Ball Lightning"
"[english]ability_storm_spirit_ball_lightning"	"Ball Lightning"

"ability_storm_spirit_ball_lightning_Description"	"Герой оборачивается нестабильным электричеством и несётся по полю боя, пока не достигнет своей цели либо не исчерпает запас маны. Заклинание имеет начальную стоимость в %ball_lightning_initial_mana_base%+%ball_lightning_initial_mana_percentage%%% от общего запаса маны. Затем тратится %ball_lightning_travel_cost_base% единиц+0,75%% от общего запаса маны за каждые 100 единиц передвижения. Урон выражен в количестве урона за 100 единиц передвижения."
"[english]ability_storm_spirit_ball_lightning_Description"	"Storm Spirit becomes volatile electricity, charging across the battlefield until he depletes his mana or reaches his target. The activation mana cost is %ball_lightning_initial_mana_base%+%ball_lightning_initial_mana_percentage%%% of his total mana pool, and the cost per 100 units traveled is %ball_lightning_travel_cost_base%+%ball_lightning_travel_cost_percent%%% of his total mana pool.  Damage is expressed in damage per 100 units traveled."

"ability_storm_spirit_ball_lightning_ball_lightning_move_speed"	"СКОРОСТЬ:"
"[english]ability_storm_spirit_ball_lightning_ball_lightning_move_speed"	"SPEED:"

"ability_storm_spirit_ball_lightning_ball_lightning_aoe"	"РАДИУС:"
"[english]ability_storm_spirit_ball_lightning_ball_lightning_aoe"	"RADIUS:"

"ability_storm_spirit_ball_lightning_ball_lightning_travel_cost_percent"	"%МАНЫ НА ЕДИНИЦУ ПЕРЕМЕЩЕНИЯ:"
"[english]ability_storm_spirit_ball_lightning_ball_lightning_travel_cost_percent"	"%MANA DRAIN PER UNIT:"

"ability_crystal_maiden_crystal_nova"	"Crystal Nova"
"[english]ability_crystal_maiden_crystal_nova"	"Crystal Nova"

"ability_crystal_maiden_crystal_nova_Description"	"Обдаёт выбранную область морозным ветром, который наносит врагам урон и замедляет их передвижение и атаку."
"[english]ability_crystal_maiden_crystal_nova_Description"	"A burst of damaging frost slows enemy movement and attack rate in the targeted area."

"ability_crystal_maiden_crystal_nova_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_crystal_maiden_crystal_nova_duration"	"DURATION:"
