\\ Названия всех модифайеров \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"modifier_life_stealer_infest"	"Паразитирует носителя"
"[english]modifier_bottle_regeneration_Description"	"Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP and %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana per second."

"modifier_item_ethereal_blade_ethereal"	"Ether Blast"
"[english]modifier_item_ethereal_blade_ethereal"	"Ether Blast"

"modifier_item_ethereal_blade_ethereal_Description"	"Находится в призрачной форме. Получает увеличенный на %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% магический урон, не может атаковать или быть целью атаки."
"[english]modifier_item_ethereal_blade_ethereal_Description"	"Ethereal Form. Taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% increased magic damage and cannot attack or be attacked."

"modifier_item_ethereal_blade_slow"	"Замедление от Ethereal Blade"
"[english]modifier_item_ethereal_blade_slow"	"Ethereal Blade Slow"

"modifier_item_ethereal_blade_slow_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_item_ethereal_blade_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_item_forcestaff_active"	"Force"
"[english]modifier_item_forcestaff_active"	"Force"

"modifier_item_forcestaff_active_Description"	"Под воздействием толчка Force Staff."
"[english]modifier_item_forcestaff_active_Description"	"Being pushed by Force Staff."

"modifier_ghost_state"	"Ghost Form"
"[english]modifier_ghost_state"	"Ghost Form"

"modifier_ghost_state_Description"	"Находится в призрачной форме. Получает увеличенный на %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% магический урон, не может атаковать или быть целью атаки."
"[english]modifier_ghost_state_Description"	"Ethereal Form. Taking %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% increased magic damage and cannot attack or be attacked."

"modifier_item_headdress_aura"	"Аура регенерации от Headdress"
"[english]modifier_item_headdress_aura"	"Headdress Regeneration Aura"

"modifier_item_headdress_aura_Description"	"Восстанавливает %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% здоровья в секунду."
"[english]modifier_item_headdress_aura_Description"	"Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."

"modifier_item_invisibility_edge_windwalk"	"Shadow Walk"
"[english]modifier_item_invisibility_edge_windwalk"	"Shadow Walk"

"modifier_item_invisibility_edge_windwalk_Description"	"Невидим, словно ветер. Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, также вы можете проходить сквозь существ. Если вы прервёте невидимость атакой, то она нанесёт 175 дополнительного урона."
"[english]modifier_item_invisibility_edge_windwalk_Description"	"Invisible as the wind. Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and you can move through units. Attacking to break invisibility will deal 175 bonus damage."

"modifier_item_mask_of_madness_berserk"	"Berserk"
"[english]modifier_item_mask_of_madness_berserk"	"Berserk"

"modifier_item_mask_of_madness_berserk_Description"	"Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, но герой обезмолвлен и имеет на 8 брони меньше обычного."
"[english]modifier_item_mask_of_madness_berserk_Description"	"Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% and movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% but reduces armor by 8 and silences you."

"modifier_item_mekansm_aura"	"Аура от Mekansm"
"[english]modifier_item_mekansm_aura"	"Mekansm Aura"

"modifier_item_mekansm_aura_Description"	"Восстанавливает %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% здоровья в секунду."
"[english]modifier_item_mekansm_aura_Description"	"Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."

"modifier_item_mekansm_spell"	"Mekansm Restore"
"[english]modifier_item_mekansm_spell"	"Mekansm Restore"

"modifier_item_mekansm_spell_Description"	"Броня увеличена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE%."
"[english]modifier_item_mekansm_spell_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE_ACTIVE%."

"modifier_item_mjollnir_static"	"Mjollnir Static Charge"
"[english]modifier_item_mjollnir_static"	"Mjollnir Static Charge"

"modifier_item_mjollnir_static_Description"	"Когда вас атакуют, есть шанс в 20%%, что атакующий и 4 соседних с ним врага будут поражены молнией."
"[english]modifier_item_mjollnir_static_Description"	"When attacked, there is a 20%% chance that lightning will strike attacker and 4 other nearby enemies."

"modifier_necronomicon_archer_aura"	"Archer Aura"
"[english]modifier_necronomicon_archer_aura"	"Archer Aura"

"modifier_necronomicon_archer_aura_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.\nСкорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_necronomicon_archer_aura_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.\nAttack Speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_item_orb_of_venom_slow"	"Orb of Venom"
"[english]modifier_item_orb_of_venom_slow"	"Orb of Venom"

"modifier_item_orb_of_venom_slow_Description"	"Теряет 5 здоровья в секунду и передвигается на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% медленнее."
"[english]modifier_item_orb_of_venom_slow_Description"	"Taking 5 poison damage per second and moving %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% more slowly."

"modifier_orchid_malevolence_debuff"	"Soul Burn"
"[english]modifier_orchid_malevolence_debuff"	"Soul Burn"

"modifier_item_pipe_barrier"	"Barrier"
"[english]modifier_item_pipe_barrier"	"Barrier"

"modifier_item_pipe_barrier_Description"	"Волшебный щит, который блокирует %dMODIFIER_PROPERTY_INCOMING_SPELL_DAMAGE_CONSTANT% получаемого магического урона."
"[english]modifier_item_pipe_barrier_Description"	"Magic shield that blocks %dMODIFIER_PROPERTY_INCOMING_SPELL_DAMAGE_CONSTANT% incoming magic damage."

"modifier_item_radiance_debuff"	"Burn Damage"
"[english]modifier_item_radiance_debuff"	"Burn Damage"

"modifier_item_radiance_debuff_Description"	"Получает 60 урона в секунду и промахивается в %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% случаев."
"[english]modifier_item_radiance_debuff_Description"	"Taking 60 damage per second, and missing %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% of attacks."

"modifier_item_ring_of_basilius_aura_bonus"	"Аура от Ring of Basilius"
"[english]modifier_item_ring_of_basilius_aura_bonus"	"Ring of Basilius Aura"

"modifier_item_ring_of_basilius_aura_bonus_Description"	"Восстановление маны увеличено на %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT_UNIQUE%, броня увеличена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE%."
"[english]modifier_item_ring_of_basilius_aura_bonus_Description"	"Mana regeneration increased by %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT_UNIQUE% and armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS_UNIQUE%."

"modifier_sange_buff"	"Maim"
"[english]modifier_sange_buff"	"Maim"

"modifier_sange_buff_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"
"[english]modifier_sange_buff_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_sange_and_yasha_buff"	"Maim"
"[english]modifier_sange_and_yasha_buff"	"Maim"

"modifier_sange_and_yasha_buff_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"
"[english]modifier_sange_and_yasha_buff_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_item_satanic_unholy"	"Unholy Rage"
"[english]modifier_item_satanic_unholy"	"Unholy Rage"

"modifier_item_satanic_unholy_Description"	"Вампиризм увеличен на 175%%."
"[english]modifier_item_satanic_unholy_Description"	"Lifesteal increased by 175%%."

"modifier_eul_cyclone"	"Cyclone"
"[english]modifier_eul_cyclone"	"Cyclone"

"modifier_eul_cyclone_Description"	"Крутится в урагане, получив временную неуязвимость. Не может совершать никакие действия."
"[english]modifier_eul_cyclone_Description"	"Swept up in a cyclone, you are invulnerable and unable to act."

"modifier_sheepstick_debuff"	"Освинован"
"[english]modifier_sheepstick_debuff"	"Pigged"

"modifier_sheepstick_debuff_Description"	"Вы — свинья. Вы не можете атаковать или использовать заклинания."
"[english]modifier_sheepstick_debuff_Description"	"You are a pig. Cannot attack or cast spells."

"modifier_item_shivas_guard_aura"	"Freezing Aura"
"[english]modifier_item_shivas_guard_aura"	"Freezing Aura"

"modifier_item_shivas_guard_aura_Description"	"Скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_item_shivas_guard_aura_Description"	"Attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_item_shivas_guard_blast"	"Arctic Blast"
"[english]modifier_item_shivas_guard_blast"	"Arctic Blast"

"modifier_item_shivas_guard_blast_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_item_shivas_guard_blast_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_item_skadi_slow"	"Cold Attack от Eye of Skadi"
"[english]modifier_item_skadi_slow"	"Eye of Skadi Cold Attack"

"modifier_item_skadi_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_item_skadi_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_item_soul_ring_buff"	"Sacrifice"
"[english]modifier_item_soul_ring_buff"	"Sacrifice"

"modifier_item_soul_ring_buff_Description"	"Мана увеличена за счет здоровья. Дополнительная мана будет потеряна через 10 секунд."
"[english]modifier_item_soul_ring_buff_Description"	"Mana increased at the cost of health. Extra mana will be lost at the end of Sacrifice's duration of 10 seconds."

"modifier_item_urn_heal"	"Soul Release"
"[english]modifier_item_urn_heal"	"Soul Release"

"modifier_item_urn_heal_Description"	"Восстанавливает %0fMODIFIER_PROPERTY_TOOLTIP% здоровья в секунду."
"[english]modifier_item_urn_heal_Description"	"Regenerating %0fMODIFIER_PROPERTY_TOOLTIP% HP per second."

"modifier_item_urn_damage"	"Soul Release"
"[english]modifier_item_urn_damage"	"Soul Release"

"modifier_item_urn_damage_Description"	"Получает 18,75 урона в секунду."
"[english]modifier_item_urn_damage_Description"	"Taking 18.75 damage per second."

"modifier_item_ancient_janggo_aura"	"Swiftness Aura"
"[english]modifier_item_ancient_janggo_aura"	"Swiftness Aura"

"modifier_item_ancient_janggo_aura_effect"	"Swiftness Aura"
"[english]modifier_item_ancient_janggo_aura_effect"	"Swiftness Aura"

"modifier_item_ancient_janggo_aura_effect_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%."
"[english]modifier_item_ancient_janggo_aura_effect_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%."

"modifier_item_ancient_janggo_active"	"Endurance"
"[english]modifier_item_ancient_janggo_active"	"Endurance"

"modifier_item_ancient_janggo_active_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.\nСкорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_item_ancient_janggo_active_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.\nAttack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_item_medallion_of_courage_armor_reduction"	"Medallion of Courage"
"[english]modifier_item_medallion_of_courage_armor_reduction"	"Medallion of Courage"

"modifier_item_medallion_of_courage_armor_reduction_Description"	"Броня уменьшена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"[english]modifier_item_medallion_of_courage_armor_reduction_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_smoke_of_deceit"	"Smoke of Deceit"
"[english]modifier_smoke_of_deceit"	"Smoke of Deceit"

"modifier_smoke_of_deceit_Description"	"В невидимости, передвигается на 15%% быстрее, не отображается на вражеской мини-карте. Атака или приближение к вражескому герою или строению на 1025 единиц раскрывают невидимость."
"[english]modifier_smoke_of_deceit_Description"	"Invisible, moving 15%% faster, and hidden from the minimap. Attacking or moving within 1025 range of an enemy hero or tower will break the invisibility."

"modifier_item_veil_of_discord_debuff"	"Magic Weakness"
"[english]modifier_item_veil_of_discord_debuff"	"Magic Weakness"

"modifier_item_veil_of_discord_debuff_Description"	"Магический урон увеличен на %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
